x,y
141,534
142,534
155,534
156,534
157,534
158,534
159,534
46,535
136,535
137,535
138,535
139,535
140,535
141,535
142,535
143,535
144,535
156,535
157,535
158,535
159,535
48,536
49,536
137,536
138,536
139,536
140,536
141,536
142,536
143,536
144,536
145,536
157,536
158,536
159,536
50,537
51,537
52,537
138,537
139,537
140,537
141,537
142,537
143,537
144,537
145,537
157,537
158,537
159,537
51,538
52,538
53,538
54,538
139,538
140,538
141,538
142,538
143,538
144,538
145,538
146,538
158,538
159,538
53,539
54,539
55,539
56,539
139,539
140,539
141,539
142,539
143,539
144,539
145,539
146,539
147,539
158,539
159,539
55,540
56,540
57,540
58,540
140,540
141,540
142,540
143,540
144,540
145,540
146,540
147,540
148,540
159,540
57,541
58,541
59,541
60,541
135,541
136,541
141,541
142,541
143,541
144,541
145,541
146,541
147,541
59,542
60,542
61,542
137,542
138,542
142,542
143,542
144,542
145,542
146,542
147,542
148,542
137,543
138,543
139,543
142,543
143,543
144,543
145,543
146,543
147,543
148,543
139,544
140,544
141,544
143,544
144,544
145,544
146,544
147,544
148,544
149,544
68,545
69,545
144,545
145,545
146,545
147,545
148,545
149,545
150,545
70,546
71,546
145,546
146,546
147,546
148,546
149,546
150,546
151,546
72,547
73,547
74,547
145,547
146,547
147,547
148,547
149,547
74,548
75,548
76,548
146,548
147,548
148,548
149,548
150,548
77,549
78,549
147,549
148,549
149,549
150,549
151,549
148,550
149,550
150,550
151,550
152,550
148,551
149,551
150,551
151,551
152,551
153,551
148,552
149,552
150,552
151,552
152,552
153,552
154,552
155,552
148,553
149,553
150,553
151,553
152,553
153,553
154,553
157,553
149,554
150,554
151,554
152,554
153,554
154,554
155,554
158,554
159,554
150,555
151,555
152,555
153,555
154,555
155,555
156,555
151,556
152,556
153,556
154,556
155,556
156,556
152,557
153,557
154,557
155,557
156,557
157,557
152,558
153,558
154,558
155,558
156,558
157,558
158,558
153,559
154,559
155,559
156,559
157,559
158,559
159,559
53,400
54,400
55,400
56,400
57,400
58,400
59,400
60,400
61,400
62,400
73,400
74,400
75,400
76,400
77,400
78,400
79,400
80,400
81,400
82,400
53,401
54,401
55,401
56,401
57,401
58,401
59,401
60,401
61,401
62,401
74,401
75,401
76,401
77,401
78,401
79,401
80,401
81,401
82,401
83,401
54,402
55,402
56,402
57,402
58,402
59,402
60,402
61,402
62,402
63,402
74,402
75,402
76,402
77,402
78,402
79,402
80,402
81,402
82,402
83,402
55,403
56,403
57,403
58,403
59,403
60,403
61,403
62,403
63,403
64,403
75,403
76,403
77,403
78,403
79,403
80,403
81,403
82,403
83,403
84,403
56,404
57,404
58,404
59,404
60,404
61,404
62,404
63,404
64,404
65,404
76,404
77,404
78,404
79,404
80,404
81,404
82,404
83,404
84,404
85,404
54,405
55,405
56,405
57,405
58,405
59,405
60,405
61,405
62,405
63,405
76,405
77,405
78,405
79,405
80,405
81,405
82,405
83,405
84,405
85,405
54,406
55,406
56,406
57,406
58,406
